category,method,outcome_name,outcome_col,spec,controls_requested,controls_used,coef_log_price,std_error,t_stat,p_value,n_obs,n_store_upc_clusters,n_weeks,first_stage_coef,first_stage_se,first_stage_t,first_stage_t2,cluster_type,fixed_effects
cereal,FE-IV,rival_mfr_sales,y_rival_mfr_log_sales,B_ccount_only,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo,0.14457331512763083,0.0035241186551133773,41.02396351435552,0.0,6319195,36438,365,0.425841521421236,0.0066531883015091536,64.0056319050284,4096.7209155619885,one-way,store_upc_id + week
cereal,FE-IV,rival_mfr_sales,y_rival_mfr_log_sales,C_plus_deal,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing + deal_flag,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + deal_flag,0.12606332157322434,0.0039567773106160085,31.860100196944934,0.0,6319195,36438,365,0.37560626705276007,0.006448593835254223,58.24622803801575,3392.6230806565322,one-way,store_upc_id + week
cereal,FE-IV,rival_mfr_sales,y_rival_mfr_log_sales,D_plus_rival_cost,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing + deal_flag + rival_log_cost_mean,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + deal_flag + rival_log_cost_mean,0.12345324275005065,0.0038782124497260717,31.832511588881747,0.0,6319195,36438,365,0.37566067695045235,0.006450451574182587,58.2378880967038,3391.651609964194,one-way,store_upc_id + week
cereal,FE-IV,rival_mfr_sales,y_rival_mfr_log_sales,E_full_sensitivity,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing + deal_flag + rival_log_cost_mean + rival_log_price_mean + rival_deal_rate + price_was_missing + cost_was_missing,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + deal_flag + rival_log_cost_mean + rival_log_price_mean + rival_deal_rate + price_was_missing,0.08559461995472202,0.0038278053803779246,22.361277925334633,0.0,6319195,36438,365,0.36944437605163005,0.006390516699712204,57.81134662683347,3342.1517988078895,one-way,store_upc_id + week
cereal,FE-IV,same_com_code_sales,y_same_com_code_log_sales,A_none,none,none,-0.3411795290305548,0.03632136818490019,-9.393355649316996,0.0,6451609,36438,366,0.42810058018185176,0.006619017299567593,64.67736233440857,4183.1611985363725,one-way,store_upc_id + week
cereal,FE-IV,same_com_code_sales,y_same_com_code_log_sales,B_ccount_only,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo,0.04007185059396858,0.002496714730417713,16.049831446808646,0.0,6319195,36438,365,0.425841521421236,0.0066531883015091536,64.0056319050284,4096.7209155619885,one-way,store_upc_id + week
cereal,FE-IV,same_com_code_sales,y_same_com_code_log_sales,C_plus_deal,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing + deal_flag,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + deal_flag,0.042970356208035194,0.003004317651315511,14.302867138306636,0.0,6319195,36438,365,0.37560626705276007,0.006448593835254223,58.24622803801575,3392.6230806565322,one-way,store_upc_id + week
cereal,FE-IV,same_com_code_sales,y_same_com_code_log_sales,D_plus_rival_cost,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing + deal_flag + rival_log_cost_mean,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + deal_flag + rival_log_cost_mean,0.04037002629561314,0.0029457800807966565,13.704358502110408,0.0,6319195,36438,365,0.37566067695045235,0.006450451574182587,58.2378880967038,3391.651609964194,one-way,store_upc_id + week
cereal,FE-IV,same_com_code_sales,y_same_com_code_log_sales,E_full_sensitivity,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing + deal_flag + rival_log_cost_mean + rival_log_price_mean + rival_deal_rate + price_was_missing + cost_was_missing,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + deal_flag + rival_log_cost_mean + rival_log_price_mean + rival_deal_rate + price_was_missing,-0.0016912127569426727,0.003061724078438339,-0.5523726872884285,0.5806930394481753,6319195,36438,365,0.36944437605163005,0.006390516699712204,57.81134662683347,3342.1517988078895,one-way,store_upc_id + week
cereal,FE-IV,category_total_sales,y_category_total_log_sales,A_none,none,none,-0.38242117131188624,0.03638290461907162,-10.51101266696074,0.0,6451609,36438,366,0.42810058018185176,0.006619017299567593,64.67736233440857,4183.1611985363725,one-way,store_upc_id + week
cereal,FE-IV,category_total_sales,y_category_total_log_sales,B_ccount_only,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo,-0.0018071068050383166,0.0023141566145752877,-0.7808921806141331,0.4348659114392315,6319195,36438,365,0.425841521421236,0.0066531883015091536,64.0056319050284,4096.7209155619885,one-way,store_upc_id + week
cereal,FE-IV,category_total_sales,y_category_total_log_sales,C_plus_deal,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing + deal_flag,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + deal_flag,0.008506201847512225,0.002787465829425525,3.051589640209253,0.0022763306803521566,6319195,36438,365,0.37560626705276007,0.006448593835254223,58.24622803801575,3392.6230806565322,one-way,store_upc_id + week
cereal,FE-IV,category_total_sales,y_category_total_log_sales,D_plus_rival_cost,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing + deal_flag + rival_log_cost_mean,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + deal_flag + rival_log_cost_mean,0.005916201692658343,0.0027600165818331955,2.143538459732303,0.03206988629696461,6319195,36438,365,0.37566067695045235,0.006450451574182587,58.2378880967038,3391.651609964194,one-way,store_upc_id + week
cereal,FE-IV,category_total_sales,y_category_total_log_sales,E_full_sensitivity,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing + deal_flag + rival_log_cost_mean + rival_log_price_mean + rival_deal_rate + price_was_missing + cost_was_missing,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + deal_flag + rival_log_cost_mean + rival_log_price_mean + rival_deal_rate + price_was_missing,-0.03888940404920013,0.002955085059656139,-13.160164010211401,0.0,6319195,36438,365,0.36944437605163005,0.006390516699712204,57.81134662683347,3342.1517988078895,one-way,store_upc_id + week
cereal,FE-IV,own_pseudo_logit,y_own_pseudo_logit,A_none,none,none,-1.0065596197107947,0.050021520778059055,-20.122531343595256,0.0,6319195,36438,365,0.42584301385238593,0.006655457824229463,63.98403011466577,4093.956109714456,one-way,store_upc_id + week
cereal,FE-IV,own_pseudo_logit,y_own_pseudo_logit,B_ccount_only,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo,-1.006327333989498,0.049933094686906807,-20.153514223370816,0.0,6319195,36438,365,0.425841521421236,0.0066531883015091536,64.0056319050284,4096.7209155619885,one-way,store_upc_id + week
cereal,FE-IV,own_pseudo_logit,y_own_pseudo_logit,C_plus_deal,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing + deal_flag,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + deal_flag,0.15504421190320872,0.04866142135613701,3.1861833785842566,0.0014416318848109455,6319195,36438,365,0.37560626705276007,0.006448593835254223,58.24622803801575,3392.6230806565322,one-way,store_upc_id + week
cereal,FE-IV,own_pseudo_logit,y_own_pseudo_logit,D_plus_rival_cost,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing + deal_flag + rival_log_cost_mean,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + deal_flag + rival_log_cost_mean,0.15245240570189272,0.04870005254220835,3.1304361647199905,0.0017454693036713653,6319195,36438,365,0.37566067695045235,0.006450451574182587,58.2378880967038,3391.651609964194,one-way,store_upc_id + week
cereal,FE-IV,own_pseudo_logit,y_own_pseudo_logit,E_full_sensitivity,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing + deal_flag + rival_log_cost_mean + rival_log_price_mean + rival_deal_rate + price_was_missing + cost_was_missing,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + deal_flag + rival_log_cost_mean + rival_log_price_mean + rival_deal_rate + price_was_missing,-1.405331584245503,0.02985760437913415,-47.06779440173749,0.0,6319195,36438,365,0.36944437605163005,0.006390516699712204,57.81134662683347,3342.1517988078895,one-way,store_upc_id + week
