outcome_name,spec,learner,fold,y_rmse,d_rmse,z_rmse
own_sales,S1_ccount_only,Ridge,1,0.6571496354827124,0.09499065628822831,0.12247848108646642
own_sales,S1_ccount_only,Ridge,2,0.6566474146812311,0.09471028326706186,0.11942963878691022
own_sales,S1_ccount_only,Ridge,3,0.6573351178290175,0.09482640262368279,0.12501637721765219
own_sales,S1_ccount_only,LightGBM,1,0.6525640556552462,0.09495332752881355,0.12254372109974289
own_sales,S1_ccount_only,LightGBM,2,0.6521630141512117,0.09467333025393761,0.11948999632841843
own_sales,S1_ccount_only,LightGBM,3,0.6528072162639547,0.09479736003003154,0.12508351015354402
own_sales,S2_plus_deal,Ridge,1,0.607033784068532,0.07876332550085481,0.11767377283192161
own_sales,S2_plus_deal,Ridge,2,0.606543549519315,0.07849517641287207,0.11450163134812691
own_sales,S2_plus_deal,Ridge,3,0.6071847597163358,0.07845908387480922,0.12009882911388321
own_sales,S2_plus_deal,LightGBM,1,0.5863051739214057,0.0673122076758796,0.10965418922514074
own_sales,S2_plus_deal,LightGBM,2,0.5865487279942054,0.06743053845731192,0.10695001059003553
own_sales,S2_plus_deal,LightGBM,3,0.5868135122508815,0.0672970596715913,0.11248792993488858
