category,method,outcome_name,outcome_col,spec,controls_requested,controls_used,coef_log_price,std_error,t_stat,p_value,n_obs,n_store_upc_clusters,n_weeks,first_stage_coef,first_stage_se,first_stage_t,first_stage_t2,cluster_type,fixed_effects,source_file,learner,coef_log_price_fd,n_groups,n_splits,mean_y_rmse,mean_d_rmse,mean_z_rmse
cereal,FE-IV,same_mfr_sales,y_same_mfr_log_sales,E_full_sensitivity,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing + deal_flag + rival_log_cost_mean + rival_log_price_mean + rival_deal_rate + price_was_missing + cost_was_missing,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + deal_flag + rival_log_cost_mean + rival_log_price_mean + rival_deal_rate + price_was_missing,0.1672900685860612,0.041360922451046,4.04464065771411,5.240343889933996e-05,6319195,36438.0,365.0,0.36944437605163,0.0063905166997122,57.81134662683347,3342.151798807889,one-way,store_upc_id + week,cereal_fe_iv_decomposition_results.csv,,,,,,,
cereal,FE-IV,rival_mfr_sales,y_rival_mfr_log_sales,A_none,none,none,-0.226759676636457,0.0350636650184744,-6.467084274190422,9.991185656588185e-11,6451609,36438.0,366.0,0.4281005801818517,0.0066190172995675,64.67736233440857,4183.1611985363725,one-way,store_upc_id + week,cereal_fe_iv_decomposition_results.csv,,,,,,,
cereal,FE-IV,rival_mfr_sales,y_rival_mfr_log_sales,B_ccount_only,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo,0.1445733151276308,0.0035241186551133,41.02396351435552,0.0,6319195,36438.0,365.0,0.425841521421236,0.0066531883015091,64.0056319050284,4096.7209155619885,one-way,store_upc_id + week,cereal_fe_iv_decomposition_results.csv,,,,,,,
cereal,FE-IV,rival_mfr_sales,y_rival_mfr_log_sales,C_plus_deal,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing + deal_flag,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + deal_flag,0.1260633215732243,0.003956777310616,31.86010019694493,0.0,6319195,36438.0,365.0,0.37560626705276,0.0064485938352542,58.24622803801575,3392.623080656532,one-way,store_upc_id + week,cereal_fe_iv_decomposition_results.csv,,,,,,,
cereal,FE-IV,rival_mfr_sales,y_rival_mfr_log_sales,D_plus_rival_cost,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing + deal_flag + rival_log_cost_mean,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + deal_flag + rival_log_cost_mean,0.1234532427500506,0.003878212449726,31.832511588881747,0.0,6319195,36438.0,365.0,0.3756606769504523,0.0064504515741825,58.2378880967038,3391.651609964194,one-way,store_upc_id + week,cereal_fe_iv_decomposition_results.csv,,,,,,,
cereal,FE-IV,rival_mfr_sales,y_rival_mfr_log_sales,E_full_sensitivity,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing + deal_flag + rival_log_cost_mean + rival_log_price_mean + rival_deal_rate + price_was_missing + cost_was_missing,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + deal_flag + rival_log_cost_mean + rival_log_price_mean + rival_deal_rate + price_was_missing,0.085594619954722,0.0038278053803779,22.361277925334637,0.0,6319195,36438.0,365.0,0.36944437605163,0.0063905166997122,57.81134662683347,3342.151798807889,one-way,store_upc_id + week,cereal_fe_iv_decomposition_results.csv,,,,,,,
cereal,FE-IV,same_com_code_sales,y_same_com_code_log_sales,A_none,none,none,-0.3411795290305548,0.0363213681849001,-9.393355649316996,0.0,6451609,36438.0,366.0,0.4281005801818517,0.0066190172995675,64.67736233440857,4183.1611985363725,one-way,store_upc_id + week,cereal_fe_iv_decomposition_results.csv,,,,,,,
cereal,FE-IV,same_com_code_sales,y_same_com_code_log_sales,B_ccount_only,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo,0.0400718505939685,0.0024967147304177,16.049831446808646,0.0,6319195,36438.0,365.0,0.425841521421236,0.0066531883015091,64.0056319050284,4096.7209155619885,one-way,store_upc_id + week,cereal_fe_iv_decomposition_results.csv,,,,,,,
cereal,FE-IV,same_com_code_sales,y_same_com_code_log_sales,C_plus_deal,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing + deal_flag,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + deal_flag,0.0429703562080351,0.0030043176513155,14.302867138306636,0.0,6319195,36438.0,365.0,0.37560626705276,0.0064485938352542,58.24622803801575,3392.623080656532,one-way,store_upc_id + week,cereal_fe_iv_decomposition_results.csv,,,,,,,
cereal,FE-IV,same_com_code_sales,y_same_com_code_log_sales,D_plus_rival_cost,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing + deal_flag + rival_log_cost_mean,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + deal_flag + rival_log_cost_mean,0.0403700262956131,0.0029457800807966,13.704358502110408,0.0,6319195,36438.0,365.0,0.3756606769504523,0.0064504515741825,58.2378880967038,3391.651609964194,one-way,store_upc_id + week,cereal_fe_iv_decomposition_results.csv,,,,,,,
