policy,review_rate,review_count,tp,fp,observed_precision,capture_rate,lift,missed_default,source_notebook_section
Top 1%,0.01,4590,4589,1,0.9997821350762527,0.03861884404349143,3.8611524131875345,114239,"Untitled41.ipynb cell 45 Top-K Policy Simulation"
Top 5%,0.05,22946,22742,204,0.9911095615793603,0.19138586865048643,3.8276589880589507,96086,"Untitled41.ipynb cell 45 Top-K Policy Simulation"
Top 10%,0.10,45892,44326,1566,0.9658764054737209,0.37302655939677515,3.730208695468759,74502,"Untitled41.ipynb cell 45 Top-K Policy Simulation"
Top 15%,0.15,68837,63994,4843,0.9296453941920769,0.5385431043188474,3.590284754307643,54834,"Untitled41.ipynb cell 45 Top-K Policy Simulation"
Top 20%,0.20,91783,81176,10607,0.884433936567774,0.6831386541892484,3.415678384994504,37652,"Untitled41.ipynb cell 45 Top-K Policy Simulation"

