outcome,start_period,pre_mean,event_mean,post_mean,event_minus_pre,post_minus_event,permutation_id,permutation_type,fake_high_col
perm_gap,2017-01,0.020340250924268943,0.160974189462998,0.057511994690513824,0.14063393853872905,-0.10346219477248417,0,random_high_and_fake_start,log_spi_afs
perm_gap,2019-04,-0.00805660326692692,0.0669485183273834,0.13764965522568082,0.07500512159431032,0.07070113689829742,1,random_high_and_fake_start,log_spi_financial
perm_gap,2019-03,-0.0496185483176926,0.05765421939668158,0.09697204048725776,0.10727276771437419,0.039317821090576174,2,random_high_and_fake_start,log_spi_financial
perm_gap,2024-05,0.13072428057528165,0.10752818490729776,0.10178336853753163,-0.02319609566798389,-0.005744816369766134,3,random_high_and_fake_start,log_spi_admin_support
perm_gap,2024-02,0.14740782066645064,0.13072428057528165,0.10752818490729776,-0.016683540091168986,-0.02319609566798389,4,random_high_and_fake_start,log_spi_admin_support
perm_gap,2018-06,0.3420171799729103,0.22146549351567746,0.21124187264311178,-0.12055168645723285,-0.010223620872565675,5,random_high_and_fake_start,log_spi_afs
perm_gap,2023-11,0.12237313886052388,0.14740782066645064,0.13072428057528165,0.02503468180592676,-0.016683540091168986,6,random_high_and_fake_start,log_spi_admin_support
perm_gap,2020-03,0.2950658032029976,-0.6805285621724648,-0.39584802462188334,-0.9755943653754624,0.2846805375505815,7,random_high_and_fake_start,log_spi_afs
perm_gap,2023-02,-0.08432347262832766,-0.03921544072914814,0.025544984743862464,0.04510803189917952,0.06476042547301061,8,random_high_and_fake_start,log_spi_financial
perm_gap,2025-04,0.46249246190768556,0.2917457300647121,0.2971705476474377,-0.17074673184297345,0.005424817582725616,9,random_high_and_fake_start,log_spi_afs
perm_gap,2024-09,0.09509348013758186,0.11205520226333861,0.18556901916097038,0.01696172212575675,0.07351381689763177,10,random_high_and_fake_start,log_spi_professional
perm_gap,2019-06,0.21017431632048597,0.14986660509554373,0.1579414537689662,-0.060307711224942245,0.00807484867342248,11,random_high_and_fake_start,log_spi_admin_support
perm_gap,2025-02,0.16729105342297768,0.18546179610264227,0.20035246663548634,0.018170742679664592,0.01489067053284407,12,random_high_and_fake_start,log_spi_admin_support
perm_gap,2020-09,-0.07063959782621243,-0.03343680480308523,-0.06734377079245697,0.0372027930231272,-0.03390696598937174,13,random_high_and_fake_start,log_spi_admin_support
perm_gap,2019-04,0.2115534659721625,0.15963909258788433,0.17904857749771175,-0.05191437338427818,0.019409484909827412,14,random_high_and_fake_start,log_spi_admin_support
perm_gap,2025-02,0.503203072962117,0.4052333785916374,0.2722057816801578,-0.09796969437047959,-0.13302759691147958,15,random_high_and_fake_start,log_spi_afs
perm_gap,2019-06,0.05765421939668158,0.09697204048725776,-0.03196636246457363,0.039317821090576174,-0.1289384029518314,16,random_high_and_fake_start,log_spi_financial
perm_gap,2023-02,-0.08432347262832766,-0.03921544072914814,0.025544984743862464,0.04510803189917952,0.06476042547301061,17,random_high_and_fake_start,log_spi_financial
perm_gap,2020-08,0.16150951232545432,0.09399462700897725,0.013810309282471364,-0.06751488531647708,-0.08018431772650589,18,random_high_and_fake_start,log_spi_financial
perm_gap,2024-12,0.11205520226333861,0.18556901916097038,0.20889554533045995,0.07351381689763177,0.023326526169489575,19,random_high_and_fake_start,log_spi_professional
perm_gap,2018-07,0.1154939360732552,0.10162122681469477,-0.07115440407734279,-0.013872709258560434,-0.17277563089203757,20,random_high_and_fake_start,log_spi_financial
perm_gap,2017-07,0.03813242387505955,0.054866895922813796,-0.10672397391508603,0.016734472047754245,-0.16159086983789983,21,random_high_and_fake_start,log_spi_financial
perm_gap,2017-01,0.07231951012061384,0.023815343640776494,0.040578140969201947,-0.04850416647983735,0.016762797328425453,22,random_high_and_fake_start,log_spi_professional
perm_gap,2017-11,-0.051760592988719566,0.019834146716706098,0.021241284256787434,0.07159473970542567,0.0014071375400813366,23,random_high_and_fake_start,log_spi_real_estate
perm_gap,2020-08,0.16150951232545432,0.09399462700897725,0.013810309282471364,-0.06751488531647708,-0.08018431772650589,24,random_high_and_fake_start,log_spi_financial
