comparator,lag,transformation,controls,washout_months,policy_block_definition,beta0,cumulative_policy_lags,status,interpretation_note
A_main,3,level,tourism,2,main_merged,0.024981236337451425,0.16744220434339974,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,level,tourism,2,separate_phase_3_4,0.02574502659709029,0.18339524225624843,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,level,tourism,2,only_2022_2025,0.04530459110639448,1.0534854566596077,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,level,tourism,2,only_2025,0.7567253942533739,54.40585754331591,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,level,tourism,3,main_merged,0.030309653520183846,0.15767523568100808,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,level,tourism,3,separate_phase_3_4,0.0311796957875617,0.15349406842416322,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,level,tourism,3,only_2022_2025,0.044153722354665165,0.9766945079261173,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,level,tourism,3,only_2025,0.7567253942529802,54.23825890379081,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,level,full_no_pci,0,main_merged,-0.0213353765881594,0.15866159730545826,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,level,full_no_pci,0,separate_phase_3_4,-0.0035608541749668,0.16666705243346364,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,level,full_no_pci,0,only_2022_2025,0.035526931560856165,0.19805243783592888,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,level,full_no_pci,0,only_2025,0.054657657971883156,0.3129107318161638,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,level,full_no_pci,1,main_merged,-0.0008847063214404011,0.14695991497996536,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,level,full_no_pci,1,separate_phase_3_4,-0.016632887732367742,0.15334920337877445,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,level,full_no_pci,1,only_2022_2025,0.02258971899806982,0.16965574435299519,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,level,full_no_pci,1,only_2025,0.12510306618263628,0.21596975624698825,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,level,full_no_pci,2,main_merged,-0.002000605823583357,0.1497507999933389,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,level,full_no_pci,2,separate_phase_3_4,-0.004506366465917205,0.1667902053588145,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,level,full_no_pci,2,only_2022_2025,0.019277807821045434,1.0473227141844255,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,level,full_no_pci,2,only_2025,0.7594996829774082,56.02603862944416,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,level,full_no_pci,3,main_merged,0.0027131141553472515,0.14135420459340478,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,level,full_no_pci,3,separate_phase_3_4,0.0021350949587565504,0.14020078938801325,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,level,full_no_pci,3,only_2022_2025,0.009842537924421605,1.1176310451133789,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,level,full_no_pci,3,only_2025,0.7594996829785563,55.86284680675044,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,level,full_with_pci,0,main_merged,-0.0027797562224157676,0.09865038309758464,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,level,full_with_pci,0,separate_phase_3_4,0.0035411062453177614,0.10186437813574213,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,level,full_with_pci,0,only_2022_2025,-0.013488574716013557,-0.02059990636296198,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,level,full_with_pci,0,only_2025,-0.009903768500391541,-0.10808460455511135,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,level,full_with_pci,1,main_merged,-0.020063967690223783,0.09566003399685537,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,level,full_with_pci,1,separate_phase_3_4,-0.024370525322027544,0.10121325060391405,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,level,full_with_pci,1,only_2022_2025,-0.03798434086461062,0.01531164784890111,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,level,full_with_pci,1,only_2025,8.982627041106582e-05,-0.11970676722809148,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,level,full_with_pci,2,main_merged,-0.017764092624366956,0.10384033567398328,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,level,full_with_pci,2,separate_phase_3_4,-0.019749535347832112,0.11762962902556144,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,level,full_with_pci,2,only_2022_2025,-0.029982601822246102,-1.283033852052338,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,level,full_with_pci,2,only_2025,-0.38092828727810335,-33.47804504280249,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,level,full_with_pci,3,main_merged,-0.006757015773429548,0.10259144016855426,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,level,full_with_pci,3,separate_phase_3_4,-0.008924513221212682,0.10845248983896949,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,level,full_with_pci,3,only_2022_2025,-0.027460434610002634,-1.3901706429350567,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,level,full_with_pci,3,only_2025,-0.38092828727783257,-33.41368438477031,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,diff,month_fe,0,main_merged,-0.036461560041928284,0.038831876365223034,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,diff,month_fe,0,separate_phase_3_4,-0.01714405806645583,0.036400098426091314,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,diff,month_fe,0,only_2022_2025,0.020706820931228685,0.04971195237293097,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,diff,month_fe,0,only_2025,-0.035744588687183554,-0.00478182663517529,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,diff,month_fe,1,main_merged,-0.09371992131622918,0.05116107108922716,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,diff,month_fe,1,separate_phase_3_4,-0.0742313637062796,0.058026420102534754,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,diff,month_fe,1,only_2022_2025,-0.010928339805098759,0.09826116529777468,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,diff,month_fe,1,only_2025,0.003050259158434286,-0.05906492950319002,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,diff,month_fe,2,main_merged,-0.09346511176332668,0.06462784466631463,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,diff,month_fe,2,separate_phase_3_4,-0.0920628326572297,0.07069092382811264,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,diff,month_fe,2,only_2022_2025,-0.012727222804676374,-0.6144924854473999,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,diff,month_fe,2,only_2025,0.8440766614768644,74.05350784031944,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,diff,month_fe,3,main_merged,-0.08970871371796738,0.04862213339260457,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,diff,month_fe,3,separate_phase_3_4,-0.08996791546400769,0.02616482747888274,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,diff,month_fe,3,only_2022_2025,-0.012727222804676343,-0.5653817811589539,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,diff,month_fe,3,only_2025,0.844076661476834,74.04734612757521,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,diff,price,0,main_merged,-0.029916006568983484,0.0414256071707099,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,diff,price,0,separate_phase_3_4,-0.013748292822155074,0.03869358168106844,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,diff,price,0,only_2022_2025,0.01780291670654131,0.030881786281756793,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,diff,price,0,only_2025,-0.04536061024570963,-0.009324405743841455,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,diff,price,1,main_merged,-0.09535741453989505,0.05023346992036856,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,diff,price,1,separate_phase_3_4,-0.07857363505310819,0.0563429923838224,ok,Relative-response robustness check; winsorized rows are sensitivity only.
A_main,3,diff,price,1,only_2022_2025,-0.03023728049357346,0.07885635737842688,ok,Relative-response robustness check; winsorized rows are sensitivity only.
