period,date,afs_spi,financial_insurance_spi,real_estate_spi,professional_scientific_technical_spi,administrative_support_spi,foreign_tourists_thousand,accommodation_occupancy_rate_total,average_room_rental_rate_total,share_foreign_tourists_total_guests_total,food_non_alcoholic_cpi_index,food_non_alcoholic_cpi_yoy,core_cpi_index,core_cpi_yoy,policy_intensity_m,delivery_intensity_m,active_events,equal_low_spi,synthetic_low_spi,log_afs_spi,log_equal_low_spi,log_synthetic_low_spi,log_afs_minus_equal_low,log_afs_minus_synthetic_low,estimand,restaurant_hotel_gap_design_dropped,period_month,month,food_non_alcoholic_cpi_yoy_original,core_cpi_yoy_original,food_cpi_yoy,time_index,log_spi_afs,log_spi_financial,log_spi_real_estate,log_spi_professional,log_spi_admin_support,retail_spi,transport_spi,information_spi,log_spi_retail,log_spi_transport,log_spi_information,private_consumption_index,services_index,nonresident_expenditure_index,log_foreign_tourists_thousand,log_nonresident_expenditure_index,z_food_non_alcoholic_cpi_yoy,z_food_cpi_yoy,z_core_cpi_yoy,z_foreign_tourists_thousand,z_accommodation_occupancy_rate_total,z_average_room_rental_rate_total,z_share_foreign_tourists_total_guests_total,z_nonresident_expenditure_index,z_private_consumption_index,z_services_index,log_low_equal_main,low_equal_main,gap_equal_main,log_low_equal_admin,low_equal_admin,gap_equal_admin,log_low_synthetic_main,low_synth_main,gap_synthetic_main,gap_synth_main,policy_active,delivery_active
2016-01,2016-01-01,95.18,83.22,80.29,82.45,95.93,2996.44,74.51,1432.8,39.02,86.39,,93.74,,0.0,0.0,,81.98666666666666,82.12627547890975,4.555769835692964,4.40655663241716,4.408258007629799,0.14921320327580467,0.14751182806316532,accommodation-and-food-service relative response,True,2016-01,1,86.39,93.74,,0,4.555769835692964,4.421487703554795,4.385645080196593,4.412192049005608,4.563618758829857,67.55,137.28,69.24,4.212868064406208,4.922022635739652,4.237578730308009,113.8,135.31,293.85,8.005180196337182,5.68306943305866,,,,0.6438644191195243,0.7701602221153043,-0.19313044536988985,1.2639984110061475,0.9819410656684405,-1.4209537721391472,-0.8667699602500878,4.406441610918999,4.406441610918999,0.14932822477396535,4.445735897896713,4.445735897896713,0.11003393779625092,4.411576020064105,4.411576020064105,0.14419381562885913,0.14419381562885913,0,0
2016-02,2016-02-01,90.83,82.99,80.42,76.9,98.14,3080.54,73.12,1343.8,38.38,86.72,,93.9,,0.0,0.0,,80.10333333333334,80.67953661547693,4.508989627514122,4.383317467856805,4.390484969582618,0.12567215965731737,0.11850465793150455,accommodation-and-food-service relative response,True,2016-02,2,86.72,93.9,,1,4.508989627514122,4.418720118610357,4.387262901469128,4.3425058765115985,4.586395030661757,73.05,139.59,60.26,4.291144138196708,4.938709554524666,4.098668533702155,106.44,132.13,308.28,8.03286018527537,5.731008460909792,,,,0.7117136767790913,0.7043408467591237,-0.4446052509489396,1.2128582099882956,1.1055023868730776,-1.9024970598805067,-0.9666716588056774,4.382829632197027,4.382829632197027,0.12615999531709488,4.4337209818132095,4.4337209818132095,0.07526864570091263,4.402832788865924,4.402832788865924,0.10615683864819836,0.10615683864819836,0,0
2016-03,2016-03-01,97.2,87.85,80.57,87.45,113.06,2927.23,70.59,1311.0,39.13,86.45,,93.91,,0.0,0.0,,85.29,85.51007285826869,4.576770711466393,4.446057214331018,4.44863418021134,0.13071349713537472,0.12813653125505287,accommodation-and-food-service relative response,True,2016-03,3,86.45,93.91,,2,4.576770711466393,4.4756308146331065,4.3891263717891045,4.471067201464611,4.727918651247145,81.33,148.57,73.73,4.398514952178684,5.001056227649261,4.300409772001559,125.16,147.56,257.72,7.98181186235431,5.5518737242704415,,,,0.5880279491716214,0.5845401131971546,-0.5372836062634657,1.2727881330560908,0.6725668082101213,-0.6777021758427008,-0.4819285114117324,4.445274795962273,4.445274795962273,0.13149591550411976,4.515935759783491,4.515935759783491,0.060834951682902094,4.453597055984853,4.453597055984853,0.12317365548154058,0.12317365548154058,0,0
2016-04,2016-04-01,88.85,83.54,80.64,84.85,96.07,2627.81,71.43,1309.0,37.22,87.52,,94.04,,0.0,0.0,,83.01,82.97453464489467,4.486949554600661,4.418961082466944,4.418533749213025,0.06798847213371673,0.06841580538763559,accommodation-and-food-service relative response,True,2016-04,4,87.52,94.04,,3,4.486949554600661,4.425325559069029,4.3899948043230586,4.440884991680235,4.565077092421647,68.96,137.91,69.0,4.233526626355437,4.926601298486246,4.23410650459726,120.79,150.49,229.91,7.8739060786651285,5.437687927995845,,,,0.3464652294519121,0.6243158508224725,-0.5429347254899611,1.1201665956434388,0.43443511432925036,-0.9636185029391324,-0.3898807199752929,4.418735118357441,4.418735118357441,0.06821443624321955,4.455320611873493,4.455320611873493,0.031628942727167875,4.418166703071049,4.418166703071049,0.06878285152961183,0.06878285152961183,0,0
2016-05,2016-05-01,84.25,88.73,80.27,81.68,101.58,2459.09,64.97,1468.5,35.76,88.86,,94.09,,0.0,0.0,,83.56,84.36758527504495,4.433788569232471,4.425564936688365,4.435183267109487,0.008223632544106074,-0.0013946978770160712,accommodation-and-food-service relative response,True,2016-05,5,88.86,94.09,,4,4.433788569232471,4.485598050847247,4.385395952143486,4.402809173856411,4.620846665373099,73.91,130.25,68.9,4.302848136796795,4.869455680633476,4.232656178019613,120.12,139.82,204.0,7.807546641790422,5.318119993844216,,,,0.2103471943470116,0.31842148765633776,-0.09225796717694505,1.003503012071464,0.21257275588072969,-1.0074546446221095,-0.7250854758206201,4.424601058949047,4.424601058949047,0.00918751028342335,4.47366246055506,4.47366246055506,-0.03987389132258912,4.451889169608191,4.451889169608191,-0.018100600375720255,-0.018100600375720255,0,0
2016-06,2016-06-01,80.01,93.23,79.43,83.85,105.05,2423.0,62.63,1519.4,36.17,88.81,,94.17,,0.0,0.0,,85.50333333333333,86.64301358229459,4.382151626862033,4.448555361537542,4.461796384893629,-0.06640373467550909,-0.07964475803159576,accommodation-and-food-service relative response,True,2016-06,6,88.81,94.17,,5,4.382151626862033,4.535069558308602,4.374876130645041,4.429029488269218,4.654436427291009,74.79,129.49,70.46,4.314684186203576,4.8636036580807485,4.255045172913092,115.95,133.48,204.77,7.792761720816526,5.321887398060469,,,,0.18123090767716876,0.20761764712866698,0.051563017137365684,1.0362647033485257,0.21916611813489267,-1.2802855562907876,-0.924260560362267,4.446325059074287,4.446325059074287,-0.0641734322122538,4.4983529011284675,4.4983529011284675,-0.11620127426643467,4.483958537729177,4.483958537729177,-0.10180691086714422,-0.10180691086714422,0,0
2016-07,2016-07-01,84.93,91.83,78.13,82.32,99.08,2949.1,62.74,1509.0,38.73,88.33,,94.22,,0.0,0.0,,84.09333333333332,85.2413451346663,4.441827387791918,4.431927293127341,4.445486587662759,0.009900094664576642,-0.003659199870841512,accommodation-and-food-service relative response,True,2016-07,7,88.33,94.22,,6,4.441827387791918,4.519939041625431,4.358374106008653,4.410614091525794,4.595927604621159,69.9,144.91,69.12,4.247065649239764,4.976112860057833,4.2358441244958005,118.59,151.45,276.78,7.989255318040284,5.623222966797784,,,,0.6056719832383839,0.21282637467483953,0.022177197159588827,1.240825507419933,0.8357739310209585,-1.1075580726444303,-0.3597217166377571,4.429642413053293,4.429642413053293,0.012184974738624454,4.47121371094526,4.47121371094526,-0.029386323153341998,4.468139360279037,4.468139360279037,-0.02631197248711903,-0.02631197248711903,0,0
2016-08,2016-08-01,86.56,96.17,78.83,79.95,105.69,2883.59,62.54,1453.7,38.2,88.45,,94.28,,0.0,0.0,,84.98333333333333,86.78692396645283,4.460837815098172,4.442455158833055,4.463455964770346,0.018382656265116815,-0.0026181496721742192,accommodation-and-food-service relative response,True,2016-08,8,88.45,94.28,,7,4.460837815098172,4.56611745872439,4.367293635071817,4.381401439279963,4.6605102810212555,72.29,142.08,72.59,4.280685807012206,4.95639027924386,4.284827171296749,119.67,150.61,275.87,7.966791324637048,5.619929740262226,,,,0.5528205579199746,0.20335596095452563,-0.1340762494530116,1.198475028452025,0.8279817756296753,-1.036896829334557,-0.3861108445581007,4.438270844358723,4.438270844358723,0.022566970739449133,4.493830703524356,4.493830703524356,-0.03299288842618431,4.497071965467505,4.497071965467505,-0.03623415036933331,-0.03623415036933331,0,0
2016-09,2016-09-01,81.04,92.06,81.51,86.62,102.58,2416.82,60.43,1514.2,35.93,88.2,,94.3,,0.0,0.0,,86.73,87.45622317912942,4.394942859940428,4.462799844696365,4.4711383616442655,-0.06785698475593716,-0.07619550170383782,accommodation-and-food-service relative response,True,2016-09,9,88.2,94.3,,8,4.394942859940428,4.5224405383890955,4.400725712106366,4.46153073578648,4.630642981961122,70.69,132.05,71.01,4.258304120182863,4.883180638743141,4.262820712194002,120.11,145.86,210.15,7.790207905443716,5.347821561451125,,,,0.17624507637709608,0.10344309620521552,0.03687010714847726,1.017087127966831,0.2652340258328101,-1.0081089153934977,-0.5353350798219528,4.461565662093981,4.461565662093981,-0.0666228021535531,4.503834992060766,4.503834992060766,-0.10889213212033866,4.485682934144807,4.485682934144807,-0.0907400742043789,-0.0907400742043789,0,0
2016-10,2016-10-01,81.7,83.78,86.15,90.92,100.51,2252.78,60.89,1586.25,28.66,88.1,,94.33,,0.0,0.0,,86.95,86.29093107884333,4.403054001865957,4.465333240800292,4.457724506574917,-0.062279238934334735,-0.05467050470895973,accommodation-and-food-service relative response,True,2016-10,10,88.1,94.33,,9,4.403054001865957,4.428194315518889,4.456089962973938,4.509979998984343,4.610257225036649,69.54,141.41,76.36,4.241902126579715,4.9516634723196855,4.335458998857547,116.4,134.73,191.66,7.719920288083406,5.255722968915616,,,,0.04390271934409529,0.1252250477619372,0.2404516772829775,0.4361664070296695,0.10690770365167736,-1.2508433715783402,-0.8849910247665165,4.464754759159057,4.464754759159057,-0.06170075729309943,4.501130375628454,4.501130375628454,-0.09807637376249723,4.443782794672157,4.443782794672157,-0.0407287928061999,-0.0407287928061999,0,0
