term,coef,std_error,t_value,p_value,ci_low,ci_high,nobs,r2,outcome,lag_length,spec,spec_type,interpretation_note,naive_std_error,standard_error_note,n_lags
month_9,-0.31724740680304286,0.08707526115049964,-3.643370144531832,0.00026909143777214373,-0.48791178260244195,-0.1465830310036438,120.0,0.4143898215318159,gap_synth_main,3,A_policy_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_10,-0.15610345560391045,0.08279935211556079,-1.88532218689394,0.0593863524588962,-0.3183872036936599,0.0061802924858390396,120.0,0.4143898215318159,gap_synth_main,3,A_policy_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_11,-0.09446502127652522,0.07583763453759639,-1.245621937610598,0.21290322452191113,-0.24310405364292503,0.054174011089874616,120.0,0.4143898215318159,gap_synth_main,3,A_policy_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_12,0.1385334589841486,0.06275939579492118,2.2073740071818766,0.027287940775384937,0.015527303534608572,0.2615396144336886,120.0,0.4143898215318159,gap_synth_main,3,A_policy_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
cumulative_policy_intensity_m_lag,-0.6373158885913562,,,,,,,,gap_synth_main,3,A_policy_month_fe,main_policy_only,Cumulative dynamic relative response; naive SE ignores lag covariance.,0.18941287628567152,naive_std_error ignores covariance across lag coefficients,4.0
const,0.4072503706532507,0.056646725946460585,7.189301126390988,6.51238016535459e-13,0.29622482795607735,0.518275913350424,111.0,0.496054711883509,gap_synth_main,3,B_price_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
policy_intensity_m_lag0,-0.3433688758261227,0.10780438792018535,-3.185110387903145,0.0014469880116623726,-0.5546615935250708,-0.13207615812717455,111.0,0.496054711883509,gap_synth_main,3,B_price_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
policy_intensity_m_lag1,-0.03587494647010788,0.07761434366653158,-0.46222057387026094,0.6439231507753223,-0.18799626474022424,0.11624637180000846,111.0,0.496054711883509,gap_synth_main,3,B_price_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
policy_intensity_m_lag2,-0.05409425432967159,0.0752044627676692,-0.7192958015907401,0.4719586821937132,-0.20149229283098669,0.09330378417164349,111.0,0.496054711883509,gap_synth_main,3,B_price_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
policy_intensity_m_lag3,-0.24573272200942098,0.09867845413479388,-2.4902368421150203,0.012765799397305735,-0.43913893816370453,-0.0523265058551374,111.0,0.496054711883509,gap_synth_main,3,B_price_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
z_food_cpi_yoy,-0.11095469498088961,0.08860619925044132,-1.2522227103690715,0.210488722883859,-0.28461965431873454,0.06271026435695531,111.0,0.496054711883509,gap_synth_main,3,B_price_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
z_core_cpi_yoy,0.17878307370553198,0.09517843344673167,1.8783989947217523,0.06032660295029163,-0.007763227955004587,0.3653293753660686,111.0,0.496054711883509,gap_synth_main,3,B_price_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_2,-0.04973108205868251,0.05628220215073314,-0.8836022784875114,0.3769109486418112,-0.16004217124472225,0.06058000712735721,111.0,0.496054711883509,gap_synth_main,3,B_price_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_3,-0.07845331970830084,0.0852898303986934,-0.9198437767030981,0.357654403110255,-0.24561831553726937,0.0887116761206677,111.0,0.496054711883509,gap_synth_main,3,B_price_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_4,-0.28837750625188174,0.14700867977648976,-1.9616359162624102,0.0498048876175438,-0.5765092240285835,-0.0002457884751799755,111.0,0.496054711883509,gap_synth_main,3,B_price_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_5,-0.4181612963048335,0.12542006447994522,-3.3340861212178523,0.0008558015596029587,-0.6639801056242174,-0.17234248698544957,111.0,0.496054711883509,gap_synth_main,3,B_price_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_6,-0.41885287712898434,0.09758446032516865,-4.292208777230438,1.7690449186529137e-05,-0.6101149048170927,-0.22759084944087596,111.0,0.496054711883509,gap_synth_main,3,B_price_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_7,-0.340188862886881,0.10466785459512268,-3.250175177496503,0.0011533393999924124,-0.5453340882323967,-0.13504363754136534,111.0,0.496054711883509,gap_synth_main,3,B_price_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_8,-0.3610075695138378,0.10675313043736129,-3.3817047615822697,0.0007203752237358253,-0.5702398604079726,-0.15177527861970302,111.0,0.496054711883509,gap_synth_main,3,B_price_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_9,-0.3190942748855555,0.07750594766470117,-4.11702952483067,3.8378692296657315e-05,-0.4710031408960161,-0.16718540887509487,111.0,0.496054711883509,gap_synth_main,3,B_price_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_10,-0.14173220967735795,0.0797258955207235,-1.7777437149077475,0.07544595645445788,-0.29799209353317924,0.014527674178463318,111.0,0.496054711883509,gap_synth_main,3,B_price_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_11,-0.07624677699702201,0.08094881879234622,-0.9419133982994105,0.34623697989654256,-0.23490354642107972,0.0824099924270357,111.0,0.496054711883509,gap_synth_main,3,B_price_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_12,0.1682428085776364,0.06437864696563249,2.613332471361974,0.00896640303252948,0.04206297915157789,0.29442263800369495,111.0,0.496054711883509,gap_synth_main,3,B_price_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
cumulative_policy_intensity_m_lag,-0.679070798635323,,,,,,,,gap_synth_main,3,B_price_month_fe,main_policy_only,Cumulative dynamic relative response; naive SE ignores lag covariance.,0.18176611600691323,naive_std_error ignores covariance across lag coefficients,4.0
