term,coef,std_error,t_value,p_value,ci_low,ci_high,nobs,r2,outcome,lag_length,spec,spec_type,interpretation_note,naive_std_error,standard_error_note,n_lags
month_8,-0.2979649514032137,0.09416365861310218,-3.164330653585651,0.0015544009096235022,-0.4825223309374188,-0.1134075718690086,120.0,0.4134223012067024,gap_equal_main,3,A_policy_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_9,-0.29063515218355235,0.07928339392183939,-3.6657758681480215,0.0002465898274957458,-0.4460277488424594,-0.1352425555246453,120.0,0.4134223012067024,gap_equal_main,3,A_policy_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_10,-0.16882194863403432,0.07751151753927811,-2.178024040730278,0.029404246977530153,-0.32074173139806417,-0.01690216587000451,120.0,0.4134223012067024,gap_equal_main,3,A_policy_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_11,-0.10341907832626797,0.07174742174246818,-1.4414326788979646,0.14946248361864403,-0.2440414409251116,0.037203284272575673,120.0,0.4134223012067024,gap_equal_main,3,A_policy_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_12,0.0998649558275323,0.058674802820712614,1.7020075232750382,0.08875395796818965,-0.015135544501053602,0.21486545615611818,120.0,0.4134223012067024,gap_equal_main,3,A_policy_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
cumulative_policy_intensity_m_lag,-0.6169913478864113,,,,,,,,gap_equal_main,3,A_policy_month_fe,main_policy_only,Cumulative dynamic relative response; naive SE ignores lag covariance.,0.1769512385931471,naive_std_error ignores covariance across lag coefficients,4.0
const,0.3858406136605729,0.050293012235343736,7.6718533353112806,1.6952873492133236e-14,0.2872681210052669,0.48441310631587886,111.0,0.49427988912726806,gap_equal_main,3,B_price_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
policy_intensity_m_lag0,-0.3312892893083121,0.10153724169537565,-3.2627367434524284,0.0011034196761598072,-0.530298626120787,-0.13227995249583713,111.0,0.49427988912726806,gap_equal_main,3,B_price_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
policy_intensity_m_lag1,-0.03367061385632353,0.07231097720464885,-0.4656362720839963,0.6414758751843563,-0.1753975248643321,0.10805629715168505,111.0,0.49427988912726806,gap_equal_main,3,B_price_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
policy_intensity_m_lag2,-0.05841982374433333,0.06904631179476065,-0.846096224777155,0.39749906661568857,-0.19374810812738733,0.07690846063872067,111.0,0.49427988912726806,gap_equal_main,3,B_price_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
policy_intensity_m_lag3,-0.23419330617868134,0.09017814136375339,-2.5970074636381235,0.009403988067837044,-0.4109392154443997,-0.05744739691296297,111.0,0.49427988912726806,gap_equal_main,3,B_price_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
z_food_cpi_yoy,-0.09304445761417739,0.08421193919929204,-1.104884396427242,0.26920968441313453,-0.25809682551306656,0.0720079102847118,111.0,0.49427988912726806,gap_equal_main,3,B_price_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
z_core_cpi_yoy,0.1582088952239082,0.09021259226055413,1.7537340548530693,0.07947608737056153,-0.018604536558774698,0.3350223270065911,111.0,0.49427988912726806,gap_equal_main,3,B_price_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_2,-0.043308937171550474,0.0519031845433661,-0.8344177250890075,0.40404563238822655,-0.14503730955948405,0.0584194352163831,111.0,0.49427988912726806,gap_equal_main,3,B_price_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_3,-0.07598287960361333,0.07831550617797925,-0.9702150099232608,0.3319393304662015,-0.22947845114347676,0.0775126919362501,111.0,0.49427988912726806,gap_equal_main,3,B_price_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
