outcome_name,spec,learner,fold,y_rmse,d_rmse,z_rmse
own_sales,S1_ccount_only,Ridge,1,0.6734258358600803,0.07577342027562632,0.056847223044903215
own_sales,S1_ccount_only,Ridge,2,0.6747033696271288,0.07527815951174978,0.057551997103062906
own_sales,S1_ccount_only,Ridge,3,0.6736701113766522,0.07553571414352855,0.05481873831987393
own_sales,S1_ccount_only,LightGBM,1,0.6683713682174895,0.07576366457592712,0.056872914357666574
own_sales,S1_ccount_only,LightGBM,2,0.6696608999910464,0.07527199473894296,0.05757494974279882
own_sales,S1_ccount_only,LightGBM,3,0.668569253949878,0.0755259433367785,0.054839516671405394
own_sales,S2_plus_deal,Ridge,1,0.6510435701784963,0.06353291048365134,0.05549236251306439
own_sales,S2_plus_deal,Ridge,2,0.6517305778092629,0.0629157798403878,0.056207809390149695
own_sales,S2_plus_deal,Ridge,3,0.6509488724788056,0.06319956568265996,0.0533953742730547
own_sales,S2_plus_deal,LightGBM,1,0.6399448783602874,0.054967173277155695,0.05096800473318819
own_sales,S2_plus_deal,LightGBM,2,0.6407198399300538,0.05450391909326146,0.05185948071599175
own_sales,S2_plus_deal,LightGBM,3,0.6398214592117593,0.05455157435555335,0.04868948602032008
