category,method,outcome_name,outcome_col,spec,controls_requested,controls_used,coef_log_price,std_error,t_stat,p_value,n_obs,n_store_upc_clusters,n_weeks,first_stage_coef,first_stage_se,first_stage_t,first_stage_t2,cluster_type,fixed_effects,sample_note
cookies,FE-IV,own_sales,y_own_log_sales,A_none,none,none,-2.772469242747008,0.026695129700371748,-103.85674367816985,0.0,7568429,78134,388,0.11003630992939946,0.003088365187397706,35.62930652709416,1269.4474836016343,one-way,store_upc_id + week,price_was_missing == 0 and cost_was_missing == 0
cookies,FE-IV,own_sales,y_own_log_sales,B_ccount_only,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo,-2.776207554736218,0.026502272913223084,-104.75356448959715,0.0,7545635,78060,387,0.1099293354922303,0.0030900622789613503,35.57511971220865,1265.5891425379762,one-way,store_upc_id + week,price_was_missing == 0 and cost_was_missing == 0
