outcome_name,spec,learner,fold,y_rmse,d_rmse,z_rmse
own_sales,S1_ccount_only,Ridge,1,0.6486739335348649,0.0746791052611681,0.08190363856946824
own_sales,S1_ccount_only,Ridge,2,0.6523802024062549,0.07580408105077188,0.08157473604815063
own_sales,S1_ccount_only,Ridge,3,0.649732398896856,0.07577523328595556,0.08116540430404515
own_sales,S1_ccount_only,LightGBM,1,0.6472962767388206,0.0746807432670335,0.08191516835576002
own_sales,S1_ccount_only,LightGBM,2,0.6510410603347546,0.07580741468600688,0.08158404483468762
own_sales,S1_ccount_only,LightGBM,3,0.6483885626018301,0.07577782290217168,0.08117103063887518
own_sales,S2_plus_deal,Ridge,1,0.6207353037736812,0.06397416163853557,0.08087728984717472
own_sales,S2_plus_deal,Ridge,2,0.6241313005041129,0.0650494063652774,0.08051679747314984
own_sales,S2_plus_deal,Ridge,3,0.6214840001111853,0.06491490716222933,0.08008778452961297
own_sales,S2_plus_deal,LightGBM,1,0.6148228808432312,0.06048602734064148,0.07972666929312014
own_sales,S2_plus_deal,LightGBM,2,0.6178203267248541,0.06147877251636329,0.07933228507776299
own_sales,S2_plus_deal,LightGBM,3,0.6152997351801899,0.06130728169304624,0.07891810970142238
