outcome_name,spec,learner,fold,y_rmse,d_rmse,z_rmse
own_sales,S1_ccount_only,Ridge,1,0.6743021780459534,0.07366105857153202,0.06391138888824201
own_sales,S1_ccount_only,Ridge,2,0.6762987602863535,0.07428485349437255,0.06570284235783472
own_sales,S1_ccount_only,Ridge,3,0.6759237242342064,0.0741704588527886,0.06405301011549565
own_sales,S1_ccount_only,LightGBM,1,0.6718202956183408,0.07365564977478782,0.06392548387465999
own_sales,S1_ccount_only,LightGBM,2,0.6738689739313117,0.07428164844545233,0.06571229658751936
own_sales,S1_ccount_only,LightGBM,3,0.6733349792194167,0.07416610722638718,0.06407025887820704
own_sales,S2_plus_deal,Ridge,1,0.6431050496010197,0.063261992387967,0.0631313496702022
own_sales,S2_plus_deal,Ridge,2,0.6452332810448483,0.0638482582116076,0.06493708197438441
own_sales,S2_plus_deal,Ridge,3,0.6452094989532974,0.06382774268839557,0.06325978044459374
own_sales,S2_plus_deal,LightGBM,1,0.6329594382297028,0.05879041874692198,0.06094296796736778
own_sales,S2_plus_deal,LightGBM,2,0.6347184838743705,0.0591918882471151,0.06261825800159868
own_sales,S2_plus_deal,LightGBM,3,0.6349267900379928,0.05931853744438846,0.06089197830610916
