category,method,outcome_name,outcome_col,spec,learner,controls_used,coef_log_price_fd,std_error,t_stat,p_value,n_obs,n_groups,n_splits,first_stage_coef,first_stage_se,first_stage_t,first_stage_t2,mean_y_rmse,mean_d_rmse,mean_z_rmse,cluster_type,fixed_effects
bottled_juices,FD-PLIV-DML,own_sales,dy_own_log_sales,S1_ccount_only,Ridge,log1p_cc_custcoun_t + log1p_cc_custcoun_tm1_fd + d_log1p_cc_custcoun + log1p_cc_grocery_t + log1p_cc_grocery_tm1_fd + d_log1p_cc_grocery + log1p_cc_convfood_t + log1p_cc_convfood_tm1_fd + d_log1p_cc_convfood + log1p_cc_bottle_t + log1p_cc_bottle_tm1_fd + d_log1p_cc_bottle + log1p_cc_promo_t + log1p_cc_promo_tm1_fd + d_log1p_cc_promo + cc_missing_t + cc_missing_tm1_fd + d_cc_missing,-3.4147571369239635,0.021302909713781085,-160.29533912519565,0.0,5833019,36275,3,0.42427199848952596,0.004670006428663486,90.8504099449278,8253.796987161437,0.6755082208555044,0.07403879030623106,0.06455574712052413,store_upc_id_code,first difference + fold-specific week residualization
bottled_juices,FD-PLIV-DML,own_sales,dy_own_log_sales,S1_ccount_only,LightGBM,log1p_cc_custcoun_t + log1p_cc_custcoun_tm1_fd + d_log1p_cc_custcoun + log1p_cc_grocery_t + log1p_cc_grocery_tm1_fd + d_log1p_cc_grocery + log1p_cc_convfood_t + log1p_cc_convfood_tm1_fd + d_log1p_cc_convfood + log1p_cc_bottle_t + log1p_cc_bottle_tm1_fd + d_log1p_cc_bottle + log1p_cc_promo_t + log1p_cc_promo_tm1_fd + d_log1p_cc_promo + cc_missing_t + cc_missing_tm1_fd + d_cc_missing,-3.415544837916367,0.021274331914328697,-160.54768966051188,0.0,5833019,36275,3,0.42419728138415,0.004669141689652222,90.85123339140861,8253.9466087402,0.673008082923023,0.07403446848220911,0.06456934644679546,store_upc_id_code,first difference + fold-specific week residualization
bottled_juices,FD-PLIV-DML,own_sales,dy_own_log_sales,S2_plus_deal,Ridge,log1p_cc_custcoun_t + log1p_cc_custcoun_tm1_fd + d_log1p_cc_custcoun + log1p_cc_grocery_t + log1p_cc_grocery_tm1_fd + d_log1p_cc_grocery + log1p_cc_convfood_t + log1p_cc_convfood_tm1_fd + d_log1p_cc_convfood + log1p_cc_bottle_t + log1p_cc_bottle_tm1_fd + d_log1p_cc_bottle + log1p_cc_promo_t + log1p_cc_promo_tm1_fd + d_log1p_cc_promo + cc_missing_t + cc_missing_tm1_fd + d_cc_missing + deal_flag_t + deal_flag_tm1_fd + d_deal_flag,-2.916820390313992,0.026284607459641663,-110.97066580859477,0.0,5833019,36275,3,0.34339957865453746,0.004329646621300953,79.31353495804568,6290.636827541134,0.6445159431997217,0.06364599776265673,0.06377607069639345,store_upc_id_code,first difference + fold-specific week residualization
bottled_juices,FD-PLIV-DML,own_sales,dy_own_log_sales,S2_plus_deal,LightGBM,log1p_cc_custcoun_t + log1p_cc_custcoun_tm1_fd + d_log1p_cc_custcoun + log1p_cc_grocery_t + log1p_cc_grocery_tm1_fd + d_log1p_cc_grocery + log1p_cc_convfood_t + log1p_cc_convfood_tm1_fd + d_log1p_cc_convfood + log1p_cc_bottle_t + log1p_cc_bottle_tm1_fd + d_log1p_cc_bottle + log1p_cc_promo_t + log1p_cc_promo_tm1_fd + d_log1p_cc_promo + cc_missing_t + cc_missing_tm1_fd + d_cc_missing + deal_flag_t + deal_flag_tm1_fd + d_deal_flag,-2.755763879607242,0.030084814672887313,-91.59982900246214,0.0,5833019,36275,3,0.31565428212098645,0.004431957302987049,71.22232019433984,5072.618893865069,0.634201570714022,0.05910028147947518,0.061484401425025204,store_upc_id_code,first difference + fold-specific week residualization
